price,sale_month,sale_day,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,Yr_house,renovation,rnovation
725000,3,25,4,2.25,3180,9600,2,0,0,3,10,3180,0,47.6313,-122.045,2840,10739,31,0,1
1598890,2,4,4,4.5,3780,6000,2,0,4,4,11,2770,1010,47.5922,-122.388,2660,6000,105,1,0
710000,2,13,3,2.5,2330,9160,2,0,0,3,9,2330,0,47.5467,-122.181,2460,9160,18,0,1
550700,2,16,2,2.25,1190,1499,2,0,0,3,9,1100,90,47.6666,-122.285,1430,1332,11,0,1
720000,8,27,4,1.75,2530,5000,1,0,2,5,8,2070,460,47.6624,-122.348,1950,3600,98,0,1
315000,12,29,3,2,1900,9513,1,0,0,3,8,1900,0,47.2843,-122.357,1790,8028,20,0,1
259950,3,11,4,1.75,1400,7920,1,0,0,3,7,1400,0,47.4658,-122.184,1910,7700,52,0,1
719000,5,8,3,2.5,1690,4500,1,0,1,4,8,1690,0,47.5841,-122.383,2140,7200,87,0,1
1185000,3,14,7,3.5,3890,8342,2,0,4,3,9,2840,1050,47.7011,-122.392,2870,8342,47,0,1
2147500,7,2,3,3.5,4660,5500,2,0,4,5,10,3040,1620,47.6465,-122.319,2980,5500,106,0,1
472000,5,29,6,2.5,4410,14034,1,0,2,4,9,2350,2060,47.3376,-122.324,2600,13988,50,0,1
663000,11,12,3,2.5,1910,5125,2,0,0,3,9,1910,0,47.5481,-121.995,1910,3215,9,0,1
360000,10,27,4,2.25,2620,8100,1,0,0,4,7,1550,1070,47.4564,-122.351,1650,8100,51,0,1
619500,3,16,6,1.5,1680,5202,1,0,0,2,7,1680,0,47.6798,-122.206,1890,5500,104,0,1
215000,4,29,3,1,980,5600,1,0,0,2,6,980,0,47.5308,-122.361,1840,5302,66,0,1
1380000,3,5,6,4.5,5740,10312,2,0,2,3,11,3610,2130,47.5533,-122.11,4350,11917,15,0,1
680000,7,29,3,1.75,1620,5500,1,0,0,3,7,1110,510,47.6393,-122.308,2100,6500,65,0,1
302000,9,15,4,2.5,1740,7895,2,0,0,3,7,1740,0,47.3401,-122.282,1720,6813,16,0,1
540000,6,8,5,3,2870,4369,2,0,0,3,8,2090,780,47.7449,-122.192,2640,4610,8,0,1
330000,5,6,3,1,1060,20040,1,0,0,3,6,1060,0,47.7281,-122.235,1768,10800,72,0,1
1388000,4,28,4,2.25,2940,20384,2,0,0,4,9,2940,0,47.6214,-122.227,3410,19910,45,0,1
565000,5,16,3,2.25,1520,1221,3,0,0,3,8,1520,0,47.674,-122.377,1550,4750,2,0,1
577000,6,23,3,2.5,2060,5750,1,0,0,3,7,1330,730,47.5671,-122.391,1920,5750,39,0,1
313000,10,14,4,1.75,1630,3000,1,0,0,3,7,930,700,47.5961,-122.305,1630,3000,37,0,1
560000,2,19,4,2.5,3270,24750,1,0,0,4,8,1690,1580,47.5221,-122.178,1520,13480,36,0,1
645000,9,2,4,2.25,2720,18295,1,0,0,4,8,2000,720,47.5851,-122.073,2720,18295,36,0,1
